1;00001246000188;MEI NAN DO BRASIL AGROPECUARIA LTDA;8;162899;AVENIDA;PENHA DE FRANCA;730;SALA 1;PENHA DE FRANCA;3606000;SP;SAO PAULO;;;;;5
;00001540000190;J.C.DE SOUZA MERCEARIA;8;322101;RUA;TRIO ARQUIDUQUE;18;;JD S BERNARDO;4844000;SP;SAO PAULO;;;;;1
;00001757000108;MARIA APARECIDA M OLIVIO;4;322101;RUA;FRANCISCO ANTONIO RENDA;82;;JD STA ADELIA;3974160;SP;SAO PAULO;;;;;1
;00002512000197;BAR E LANCHES BURGO'S LTDA;8;322101;RUA;NOVA HAMBURGO;102;;VILA CARIOCA;4217040;SP;SAO PAULO;;;;;5
;00002544000192;JOSE FRANCISCO ANTUNES DE SOUZA-BAR;8;322101;RUA;ETTORE ANDREAZZA;222;;JD TIETE;3944000;SP;SAO PAULO;;;;;1
;00003808000122;BAR E LANCHES ADALIVIA LTDA;3;322101;RUA;ADALIVIA DE TOLEDO;96;;REAL PARQUE;5683000;SP;SAO PAULO;;;;;5
;00004295000174;L.M. AMERICAN BAR E DIVERSOES ELETRONICAS LTDA;2;322101;;AVDA LINS DE VASCONCELOS;2036;;CAMBUCI;1537000;SP;SAO PAULO;;;;;1
;00004635000167;MARIA DE LOURDES GARCIA SAO PAULO;8;322101;RUA;CEBIPIRA;6;;JDM CAMPO GUAIANASE;8440210;SP;SAO PAULO;;;;;5
;00005786000130;WILSON ROBERTO GOMES CORREA BAR E LANCHES;4;322101;RUA;MUNHOZ DE MELO;SN;LT 08 QD 40;VILA SYLVIA;3729030;SP;SAO PAULO;;;;;1
;00005925000125;BAR E LANCHES RECANTO DANADO DE BOM LTDA;8;322101;AVENIDA;CELSO GARCIA;2089;;BELENZINHO;3015000;SP;SAO PAULO;;;;;5
;00005943000107;BAR E LANCHONETE FLASH LTDA;4;322101;RUA;MIGUEL ISASA;344;;PINHEIROS;8210040;SP;SAO PAULO;;;;;1
;00006070000157;MILTON SHIGUENORI FUJIKAWA;8;155501;RUA;UTUCURA;;QD12 LT30 CID IPAVA;SANTO AMARO;4950060;SP;SAO PAULO;;;;;5
;00006348000196;JOSE GOMES DA SILVA MERCEARIA E LANCHONETE;8;322101;AVENIDA;BENEDITO E DOS SANTOS;1145;;VILA MARIA;2213000;SP;SAO PAULO;;;;;5
;00006959000134;KURINU S BAR E LANCHES LTDA;2;322101;RUA;LUIS GAMA;721;;CAMBUCI;1519010;SP;SAO PAULO;;;;;1
;00007626000120;LANCHES TROPICALIENTE LIMITADA;8;322101;RUA;SIQUEIRA BUENO;1315;;AGUA RASA;3113010;SP;SAO PAULO;;;;;5
;00007820000105;FRANCISCO V. DA SILVA BAR;8;322101;RUA;ITAJUIBE;60;;JD NELIA ITAIM PTA;8120470;SP;SAO PAULO;;;;;5
;00008090000167;RIO NOVO ADMINISTRACAO EMPREENDIMENTOS E PARTICIPACOES SA.;2;162899;RUA;DUARTE DE AZEVEDO;448;5 ANDAR SALAS 53/54;SANTANA;2036021;SP;SAO PAULO;;;;;5
;00008288000140;J F DA SILVA SAO PAULO;2;322101;RUA;JOAO BRESSANE;108;;VL CAMPO GRANDE;4455110;SP;SAO PAULO;;;;;1
